07-09-2020;118233;87;14306;186;39;0
04-09-2020;114987;160;13520;176;15;-1
03-09-2020;113569;113;13447;175;20;0
02-09-2020;112230;87;13378;174;30;6
01-09-2020;110667;142;13788;179;64;0
31-08-2020;110017;67;14128;184;7;-1
28-08-2020;106811;141;13113;170;85;-3
27-08-2020;105429;164;12828;167;14;-1
26-08-2020;104084;165;12605;164;23;5
25-08-2020;102817;153;12593;164;7;-3
24-08-2020;102032;84;12807;166;86;-4
21-08-2020;98462;172;11348;147;85;0
20-08-2020;97234;180;11105;144;69;2

